Rank,Author,Title,Citations,Year,Publisher,Venue,Source,cit/year
76,"D Zhu, NM Linke, M Benedetti, KA Landsman…",Training of quantum circuits on a hybrid quantum computer,235,2019, science.org, Science …,https://www.science.org/doi/abs/10.1126/sciadv.aaw9918,39
36,D Aharonov,Quantum computation,234,1999, World Scientific, Annual Reviews of Computational Physics VI,https://www.worldscientific.com/doi/abs/10.1142/9789812815569_0007,9
51,C Bernhardt,Quantum computing for everyone,219,2019, books.google.com,,https://books.google.com/books?hl=en&lr=&id=SROKDwAAQBAJ&oi=fnd&pg=PR7&dq=quantum+and+classical+computer&ots=7uVj-MZPDD&sig=GzOmj5hbwouH6PopEbFLXpc1tW4,36
35,"KL Brown, WJ Munro, VM Kendon",Using quantum computers for quantum simulation,217,2010, mdpi.com, Entropy,https://www.mdpi.com/1099-4300/12/11/2268,14
82,J Preskill,Quantum computing 40 years later,217,2023, taylorfrancis.com, Feynman Lectures on Computation,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003358817-7/quantum-computing-40-years-later-john-preskill,108
71,"BM Boghosian, W Taylor IV",Simulating quantum mechanics on a quantum computer,217,1998, Elsevier, Physica D: Nonlinear Phenomena,https://www.sciencedirect.com/science/article/pii/S0167278998000426,8
95,"XD Cai, C Weedbrook, ZE Su, MC Chen, M Gu…",Experimental quantum computing to solve systems of linear equations,211,2013, APS, Physical review …,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.110.230501,18
85,"P Selinger, B Valiron",A lambda calculus for quantum computation with classical control,208,2006, cambridge.org, Mathematical Structures in Computer Science,https://www.cambridge.org/core/journals/mathematical-structures-in-computer-science/article/lambda-calculus-for-quantum-computation-with-classical-control/53AB540D33E2E420DF2F28D0073B7F45,11
25,"V Vedral, MB Plenio",Basics of quantum computation,205,1998, Elsevier, Progress in quantum electronics,https://www.sciencedirect.com/science/article/pii/S0079672798000044,8
54,"F Bova, A Goldfarb, RG Melko",Commercial applications of quantum computing,201,2021, epjqt.epj.org, EPJ quantum technology,https://epjqt.epj.org/articles/epjqt/abs/2021/01/40507_2021_Article_91/40507_2021_Article_91.html,50
29,PW Shor,Quantum computing,199,1998, math.upenn.edu, Documenta Mathematica,https://www2.math.upenn.edu/~ted/210S14/References/Shor.MAN.pdf,7
52,KA Valiev,Quantum computers and quantum computations,188,2005, iopscience.iop.org,Uspekhi,https://iopscience.iop.org/article/10.1070/PU2005v048n01ABEH002024/meta,9
81,"A Berthiaume, G Brassard",Oracle quantum computing,176,1994, Taylor & Francis, Journal of modern optics,https://www.tandfonline.com/doi/abs/10.1080/09500349414552351,6
28,"F Tacchino, A Chiesa, S Carretta…",Quantum computers as universal quantum simulators: state‐of‐the‐art and perspectives,168,2020, Wiley Online Library, Advanced Quantum …,https://onlinelibrary.wiley.com/doi/abs/10.1002/qute.201900052,34
94,S Wiesner,Simulations of many-body quantum systems by a quantum computer,162,1996, arxiv.org,ph/9603028,https://arxiv.org/pdf/quant-ph/9603028,6
3,"TM Khan, A Robles-Kelly",Machine learning: Quantum vs classical,158,2020, ieeexplore.ieee.org, IEEE Access,https://ieeexplore.ieee.org/abstract/document/9274431/,32
78,E Knill,Quantum computing,154,2010, nature.com, Nature,https://www.nature.com/articles/463441a,10
2,"S Aaronson, A Ambainis",Forrelation: A problem that optimally separates quantum from classical computing,151,2015, dl.acm.org, … ACM symposium on Theory of computing,https://dl.acm.org/doi/abs/10.1145/2746539.2746547,15
18,D Aharonov,Quantum to classical phase transition in noisy quantum computers,146,2000, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.62.062311,6
83,"H Lamm, S Lawrence",Simulation of nonequilibrium dynamics on a quantum computer,144,2018, APS, Physical review letters,https://journals.aps.org/prl/abstract/10.1103/PhysRevLett.121.170501,21
5,"S Aaronson, J Watrous",Closed timelike curves make quantum and classical computing equivalent,143,2009, royalsocietypublishing.org, Proceedings of the Royal …,https://royalsocietypublishing.org/doi/abs/10.1098/rspa.2008.0350,9
27,"AJ McCaskey, DI Lyakh, EF Dumitrescu…",XACC: a system-level software infrastructure for heterogeneous quantum–classical computing,141,2020, iopscience.iop.org, Quantum Science …,https://iopscience.iop.org/article/10.1088/2058-9565/ab6bf6/meta,28
26,"D Deutsch, A Ekert",Quantum computation,136,1998, iopscience.iop.org, Physics World,https://iopscience.iop.org/article/10.1088/2058-7058/11/3/31/meta,5
14,DC Marinescu,Classical and quantum information,129,2011, books.google.com,,https://books.google.com/books?hl=en&lr=&id=He-L5CLq1PUC&oi=fnd&pg=PP1&dq=quantum+and+classical+computer&ots=48OWR2OKJP&sig=f8c_V3hWkuId-l6vDjaHdPeh6xA,9
62,"D Herman, C Googin, X Liu, Y Sun, A Galda…",Quantum computing for finance,123,2023, nature.com, Nature Reviews …,https://www.nature.com/articles/s42254-023-00603-1,62
30,M Mosca,Quantum computer algorithms,118,1999, karlin.mff.cuni.cz,,https://www.karlin.mff.cuni.cz/~holub/soubory/moscathesis.pdf,5
92,J Preskill,Simulating quantum field theory with a quantum computer,116,2018, arxiv.org, arXiv preprint arXiv:1811.10085,https://arxiv.org/abs/1811.10085,17
75,"V Hassija, V Chamola, V Saxena…",Present landscape of quantum computing,114,2020, Wiley Online Library, IET Quantum …,https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/iet-qtc.2020.0027,23
6,OHM Ross,A review of quantum-inspired metaheuristics: Going from classical computers to real quantum computers,106,2019, ieeexplore.ieee.org, Ieee Access,https://ieeexplore.ieee.org/abstract/document/8943210/,18
60,R De Wolf,Quantum computing and communication complexity,103,2001, eprints.illc.uva.nl,,https://eprints.illc.uva.nl/id/eprint/2025/2/DS-2001-06.text.pdf,4
42,Y Wang,Quantum computation and quantum information,100,2012, projecteuclid.org,,https://projecteuclid.org/journals/statistical-science/volume-27/issue-3/Quantum-Computation-and-Quantum-Information/10.1214/11-STS378.short,8
90,"S Resch, UR Karpuzcu",Benchmarking quantum computers and the impact of quantum noise,100,2021, dl.acm.org, ACM Computing Surveys (CSUR),https://dl.acm.org/doi/abs/10.1145/3464420,25
4,"G Brassard, I Chuang, S Lloyd…",Quantum computing,100,1998, National Acad Sciences, Proceedings of the …,https://www.pnas.org/doi/abs/10.1073/pnas.95.19.11032,4
22,S Lloyd,The universe as quantum computer,100,2013, World Scientific, A Computable Universe: Understanding and exploring …,https://www.worldscientific.com/doi/abs/10.1142/9789814374309_0029,8
80,D Deutsch,Quantum computation,95,1992, iopscience.iop.org, Physics World,https://iopscience.iop.org/article/10.1088/2058-7058/5/6/38/meta,3
24,"T Metodi, AI Faruque, FT Chong",Quantum computing for computer architects,94,2011, books.google.com,,https://books.google.com/books?hl=en&lr=&id=Vj5iDwAAQBAJ&oi=fnd&pg=PR11&dq=quantum+and+classical+computer&ots=6wqTTXnAcz&sig=lwY6hBXenOlxoh6UWyw37qCLxPo,7
99,"M Martonosi, M Roetteler",Next steps in quantum computing: Computer science's role,92,2019, arxiv.org, arXiv preprint arXiv:1903.10541,https://arxiv.org/abs/1903.10541,15
59,B Ömer,Classical concepts in quantum programming,90,2005, Springer, International Journal of Theoretical Physics,https://link.springer.com/article/10.1007/s10773-005-7071-x,4
96,"S Bravyi, D Gosset, R Movassagh",Classical algorithms for quantum mean values,86,2021, nature.com, Nature Physics,https://www.nature.com/articles/s41567-020-01109-8,22
69,"R Rietsche, C Dremel, S Bosch, L Steinacker…",Quantum computing,78,2022, Springer, Electronic Markets,https://link.springer.com/article/10.1007/s12525-022-00570-y,26
67,AM Steane,A quantum computer only needs one universe,75,2003, Elsevier, Studies in History and Philosophy of Science Part B …,https://www.sciencedirect.com/science/article/pii/S1355219803000388,3
44,"JA Cortese, TM Braje",Loading classical data into a quantum computer,75,2018, arxiv.org, arXiv preprint arXiv:1803.01958,https://arxiv.org/abs/1803.01958,11
70,"J Singh, M Singh",Evolution in quantum computing,71,2016, ieeexplore.ieee.org, 2016 International Conference System …,https://ieeexplore.ieee.org/abstract/document/7894533/,8
79,YI Manin,"Classical computing, quantum computing, and Shor's factoring algorithm",68,2000, numdam.org,Societe Mathematique De France,http://www.numdam.org/article/SB_1998-1999__41__375_0.pdf,3
20,"C Havenstein, D Thomas…",Comparisons of performance between quantum and classical machine learning,60,2018, scholar.smu.edu, SMU Data Science …,https://scholar.smu.edu/datasciencereview/vol1/iss4/11/,9
84,"A Chalumuri, R Kune, BS Manoj",A hybrid classical-quantum approach for multi-class classification,58,2021, Springer, Quantum Information Processing,https://link.springer.com/article/10.1007/s11128-021-03029-9,14
38,"AJ McCaskey, EF Dumitrescu, D Liakh, M Chen…",A language and hardware independent approach to quantum–classical computing,53,2018, Elsevier, SoftwareX,https://www.sciencedirect.com/science/article/pii/S2352711018300700,8
48,"ST Marella, HSK Parisa",Introduction to quantum computing,52,2020, books.google.com, Quantum Computing and …,https://books.google.com/books?hl=en&lr=&id=KF5iEAAAQBAJ&oi=fnd&pg=PA61&dq=quantum+and+classical+computer&ots=R2WIDtXOIR&sig=Bw733QZcuAPAAfg_6_XMBzOSgbY,10
61,YI Manin,"Classical computing, quantum computing, and Shor's factoring algorithm",43,1999, Citeseer,ph/9903008,https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=8bd21b369965c1e66875fbd137fdd65308425721,2
19,S Bandyopadhyay,Computing with spins: from classical to quantum computing,41,2005, Elsevier, Superlattices and Microstructures,https://www.sciencedirect.com/science/article/pii/S0749603604003234,2
12,"M Zidan, H Eleuch, M Abdel-Aty",Non-classical computing problems: toward novel type of quantum computing problems,40,2021, Elsevier, Results in Physics,https://www.sciencedirect.com/science/article/pii/S2211379720319835,10
39,AW Harrow,Small quantum computers and large classical data sets,39,2020, arxiv.org, arXiv preprint arXiv:2004.00026,https://arxiv.org/abs/2004.00026,8
97,"PV Zahorodko, SO Semerikov…",Comparisons of performance between quantum-enhanced and classical machine learning algorithms on the IBM Quantum Experience,39,2021, iopscience.iop.org, Journal of physics …,https://iopscience.iop.org/article/10.1088/1742-6596/1840/1/012021/meta,10
21,"J Eisert, MM Wolf",Quantum computing,38,2006, Springer, … computing: Integrating classical models with emerging …,https://link.springer.com/chapter/10.1007/0-387-27705-6_8,2
17,J West,The quantum computer,34,2000, xootic.org, Retrieved December,https://www.xootic.org/wp/wp-content/uploads/2009/02/west.pdf,1
13,G Brassard,Quantum computing: the end of classical cryptography?,34,1994, dl.acm.org, ACM Sigact News,https://dl.acm.org/doi/pdf/10.1145/190616.190617,1
16,DA Meyer,Quantum computing classical physics,34,2002, royalsocietypublishing.org, … Transactions of the Royal Society of London …,https://royalsocietypublishing.org/doi/abs/10.1098/rsta.2001.0936,1
32,"D Giannakis, A Ourmazd, P Pfeffer, J Schumacher…",Embedding classical dynamics in a quantum computer,33,2022, APS, Physical Review A,https://journals.aps.org/pra/abstract/10.1103/PhysRevA.105.052404,11
98,"A Cojocaru, L Colisson, E Kashefi, P Wallden",On the possibility of classical client blind quantum computing,32,2021, mdpi.com, Cryptography,https://www.mdpi.com/2410-387X/5/1/3,8
1,"F Voichick, L Li, R Rand, M Hicks",Qunity: A unified language for quantum and classical computing,30,2023, dl.acm.org, Proceedings of the ACM on …,https://dl.acm.org/doi/abs/10.1145/3571225,15
74,S Aaronson,The polynomial method in quantum and classical computing,26,2008, ieeexplore.ieee.org, … IEEE Symposium on Foundations of Computer …,https://ieeexplore.ieee.org/abstract/document/4690933/,2
93,Y Shi,Quantum and classical tradeoffs,18,2005, Elsevier, Theoretical computer science,https://www.sciencedirect.com/science/article/pii/S0304397505001878,1
91,"SD Börner, C Berke, DP DiVincenzo, S Trebst…",Classical chaos in quantum computers,11,2024, APS, Physical Review …,https://journals.aps.org/prresearch/abstract/10.1103/PhysRevResearch.6.033128,11
46,PA van der Helm,Transparallel mind: Classical computing with quantum power,7,2015, Springer, Artificial Intelligence Review,https://link.springer.com/article/10.1007/s10462-015-9429-7,1
58,"JJ Tom, NP Anebo, BA Onyekwelu…",Quantum computers and algorithms: a threat to classical cryptographic systems,4,2023, researchgate.net, Int. J. Eng. Adv …,https://www.researchgate.net/profile/Bukola-Onyekwelu/publication/371963926_Quantum_Computers_and_Algorithms_A_Threat_to_Classical_Cryptographic_Systems/links/64dcbda078e40b48bd4ec9d4/Quantum-Computers-and-Algorithms-A-Threat-to-Classical-Cryptographic-Systems.pdf,2
47,"SC Marshall, S Aaronson, V Dunjko",Improved separation between quantum and classical computers for sampling and functional tasks,1,2024, arxiv.org, arXiv preprint arXiv:2410.20935,https://arxiv.org/abs/2410.20935,1
